tok,pair,top1_a2b,top1_b2a,mutual_nn,cosine_margin
unigram_destarved,en-de,0.435042,0.433549,0.397213,0.112155
unigram_destarved,en-fr,0.57989,0.580388,0.532603,0.145091
unigram_destarved,en-ar,0.134395,0.1334,0.120956,0.0183713
unigram_destarved,en-zh,0.198109,0.198606,0.174714,0.0321562
unigram_destarved,de-fr,0.339472,0.345445,0.303634,0.080932
unigram_destarved,de-ar,0.116476,0.112494,0.097561,0.0144778
unigram_destarved,de-zh,0.180189,0.181682,0.158785,0.0268388
unigram_destarved,fr-ar,0.115978,0.106023,0.0950722,0.0133058
unigram_destarved,fr-zh,0.173221,0.172225,0.145844,0.024945
unigram_destarved,ar-zh,0.102041,0.102539,0.0900946,0.0113385
unigram_starved,en-de,0.460428,0.453459,0.421603,0.119878
unigram_starved,en-fr,0.650075,0.640119,0.600299,0.170513
unigram_starved,en-ar,0.132902,0.1334,0.117471,0.0194641
unigram_starved,en-zh,0.197611,0.194624,0.170732,0.0331154
unigram_starved,de-fr,0.360876,0.36884,0.332006,0.0886135
unigram_starved,de-ar,0.114485,0.111996,0.097561,0.0154311
unigram_starved,de-zh,0.176705,0.180687,0.154306,0.0271593
unigram_starved,fr-ar,0.116974,0.109507,0.0955699,0.0140087
unigram_starved,fr-zh,0.177203,0.1777,0.15331,0.0257601
unigram_starved,ar-zh,0.106521,0.105027,0.0925834,0.0124862
